ID,Make,Model,Year,Trim,Price,Colors exterior,Colors interior,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Gross weight (lbs),Maximum payload (lbs),Maximum towing capacity (lbs),Cylinders,Engine size (l),Horsepower (HP),Horsepower (rpm),Torque (ft-lbs),Torque (rpm),Valves,Valve timing,Cam type,Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),Combined MPG,EPA mileage (mpg),Range (miles),Front head room (in),Front hip room (in),Front leg room (in),Front shoulder room (in),Rear head room (in),Rear hip room (in),Rear leg room (in),Rear shoulder room (in),Front track (in),Rear track (in),Ground clearance (in),Angle of approach (degrees),Angle of departure (degrees),Turning circle (ft),Drag coefficient (Cd),EPA interior volume (cu ft),Cargo capacity (cu ft),Maximum cargo capacity (cu ft),Basic,Drivetrain,Roadside,Rust,Free maintenance,Hybrid component,EV battery,Domestic / imported,Country of origin,Car classification,Platform code / generation number,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year-Make-Model-Trim-Specs car database for American market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright 2003-2018 by Teoalida - cardatabase.teoalida.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You are allowed to use this file in your business or company, or convert in SQL database for your website or software development.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You are not allowed to distribute, resell or post the Excel file or converted files on other websites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visit website for updates and more car databases!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Visit cardatabase.teoalida.com to get the FULL database - 62 makes, 1000+ models, 8000+ model years, 50000+ model trims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See ""Statistics makes"" for the list of makes included in FULL database, and number of models for each",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101147477,Toyota,Camry,2010,4dr Sedan (2.5L 4cyl 6A),20445,"Black(0,0,0);Blue Ribbon Metallic(0,75,133);Super White(247,247,247);Sandy Beach Metallic(192,168,140);Classic Silver Metallic(176,174,188);","Bisque, leather(174,166,155);Bisque, cloth(174,166,155);Ash, leather(124,119,116);Ash, cloth(124,119,116);",189.2,71.7,57.9,109.3,3307,,,1000,I4,2.5,169,6000,167,4100,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,18.5,26,22/32 mpg,407.0/592.0 mi.,38.8,54.6,41.7,57.8,37.8,53.9,38.3,56.9,62,61.6,5.5,,,36.1,0.28,116.4,15,,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV40,
101147478,Toyota,Camry,2010,LE 4dr Sedan (2.5L 4cyl 6M),20850,"Magnetic Gray Metallic(56,57,59);Black(0,0,0);Barcelona Red Metallic(143,5,3);Aloe Green Metallic(116,135,142);Blue Ribbon Metallic(0,75,133);Super White(247,247,247);Sandy Beach Metallic(192,168,140);Spruce Mica(74,88,65);Classic Silver Metallic(176,174,188);","Bisque, leather(174,166,155);Bisque, cloth(174,166,155);Ash, leather(124,119,116);Ash, cloth(124,119,116);",189.2,71.7,57.9,109.3,3263,,,1000,I4,2.5,169,6000,167,4100,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual,gas,regular unleaded,18.5,26,22/33 mpg,407.0/610.5 mi.,38.8,54.6,41.7,57.8,37.8,53.9,38.3,56.9,62,61.6,5.5,,,36.1,0.28,116.4,15,,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV40,
101147479,Toyota,Camry,2010,LE 4dr Sedan (2.5L 4cyl 6A),21900,"Super White(247,247,247);Spruce Mica(74,88,65);Magnetic Gray Metallic(56,57,59);Black(0,0,0);Barcelona Red Metallic(143,5,3);Aloe Green Metallic(116,135,142);Blue Ribbon Metallic(0,75,133);Sandy Beach Metallic(192,168,140);Classic Silver Metallic(176,174,188);","Bisque, leather(174,166,155);Bisque, cloth(174,166,155);Ash, leather(124,119,116);Ash, cloth(124,119,116);",189.2,71.7,57.9,109.3,3307,,,1000,I4,2.5,169,6000,167,4100,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,18.5,26,22/32 mpg,407.0/592.0 mi.,38.8,54.6,41.7,57.8,37.8,53.9,38.3,56.9,62,61.6,5.5,,,36.1,0.28,116.4,15,,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV40,
101147480,Toyota,Camry,2010,SE 4dr Sedan (2.5L 4cyl 6M),22165,"Magnetic Gray Metallic(56,57,59);Black(0,0,0);Barcelona Red Metallic(143,5,3);Blue Ribbon Metallic(0,75,133);Super White(247,247,247);Classic Silver Metallic(176,174,188);","Ash, premium cloth(124,119,116);Ash, leather(124,119,116);Dark Charcoal, premium cloth(100,91,84);Dark Charcoal, leather(100,91,84);",189.2,71.7,57.7,109.3,3285,,,1000,I4,2.5,179,6000,171,4100,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual,gas,regular unleaded,18.5,26,22/33 mpg,407.0/610.5 mi.,38.8,54.6,41.7,57.8,37.8,53.9,38.3,56.9,62,61.6,5.3,,,36.1,0.28,115.9,14.5,14.5,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV40,
101147481,Toyota,Camry,2010,SE 4dr Sedan (2.5L 4cyl 6A),23165,"Super White(247,247,247);Magnetic Gray Metallic(56,57,59);Black(0,0,0);Barcelona Red Metallic(143,5,3);Blue Ribbon Metallic(0,75,133);Classic Silver Metallic(176,174,188);","Ash, premium cloth(124,119,116);Ash, leather(124,119,116);Dark Charcoal, premium cloth(100,91,84);Dark Charcoal, leather(100,91,84);",189.2,71.7,57.7,109.3,3329,,,1000,I4,2.5,179,6000,171,4100,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,18.5,26,22/32 mpg,407.0/592.0 mi.,38.8,54.6,41.7,57.8,37.8,53.9,38.3,56.9,62,61.6,5.3,,,36.1,0.28,115.9,14.5,14.5,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV40,
101147483,Toyota,Camry,2010,LE 4dr Sedan (3.5L 6cyl 6A),24565,"Super White(247,247,247);Spruce Mica(74,88,65);Magnetic Gray Metallic(56,57,59);Black(0,0,0);Barcelona Red Metallic(143,5,3);Aloe Green Metallic(116,135,142);Blue Ribbon Metallic(0,75,133);Sandy Beach Metallic(192,168,140);Classic Silver Metallic(176,174,188);","Bisque, leather(174,166,155);Bisque, cloth(174,166,155);Ash, leather(124,119,116);Ash, cloth(124,119,116);",189.2,71.7,57.9,109.3,3461,,,1000,V6,3.5,268,6200,248,4700,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,18.5,23,19/28 mpg,351.5/518.0 mi.,38.8,54.6,41.7,57.8,37.8,53.9,38.3,56.9,62,61.6,5.3,,,36.1,0.28,116.4,15,,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV40,
101147484,Toyota,Camry,2010,SE 4dr Sedan (3.5L 6cyl 6A),25840,"Super White(247,247,247);Magnetic Gray Metallic(56,57,59);Black(0,0,0);Barcelona Red Metallic(143,5,3);Blue Ribbon Metallic(0,75,133);Classic Silver Metallic(176,174,188);","Ash, premium cloth(124,119,116);Ash, leather(124,119,116);Dark Charcoal, premium cloth(100,91,84);Dark Charcoal, leather(100,91,84);",189.2,71.7,57.7,109.3,3483,,,1000,V6,3.5,268,6200,248,4700,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,18.5,23,19/28 mpg,351.5/518.0 mi.,38.8,54.6,41.7,57.8,37.8,53.9,38.3,56.9,62,61.6,5.1,,,36.1,0.28,115.9,14.5,14.5,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV40,
101147482,Toyota,Camry,2010,XLE 4dr Sedan (2.5L 4cyl 6A),25925,"Magnetic Gray Metallic(56,57,59);Black(0,0,0);Barcelona Red Metallic(143,5,3);Aloe Green Metallic(116,135,142);Blue Ribbon Metallic(0,75,133);Super White(247,247,247);Sandy Beach Metallic(192,168,140);Spruce Mica(74,88,65);Classic Silver Metallic(176,174,188);","Bisque, leather(174,166,155);Bisque, cloth(174,166,155);Ash, leather(124,119,116);Ash, cloth(124,119,116);",189.2,71.7,57.9,109.3,3373,,,1000,I4,2.5,169,6000,167,4100,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,18.5,26,22/32 mpg,407.0/592.0 mi.,37.9,54.6,41.7,57.8,37.4,53.9,38.3,56.9,62,61.6,5.5,,,36.1,0.28,115.9,14.5,,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV40,
101147485,Toyota,Camry,2010,XLE 4dr Sedan (3.5L 6cyl 6A),29045,"Magnetic Gray Metallic(56,57,59);Black(0,0,0);Barcelona Red Metallic(143,5,3);Aloe Green Metallic(116,135,142);Blue Ribbon Metallic(0,75,133);Super White(247,247,247);Sandy Beach Metallic(192,168,140);Spruce Mica(74,88,65);Classic Silver Metallic(176,174,188);","Bisque, leather(174,166,155);Bisque, cloth(174,166,155);Ash, leather(124,119,116);Ash, cloth(124,119,116);",189.2,71.7,57.9,109.3,3516,,,1000,V6,3.5,268,6200,248,4700,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,18.5,23,19/28 mpg,351.5/518.0 mi.,37.9,54.6,41.7,57.8,37.4,53.9,38.3,56.9,62,61.6,5.3,,,36.1,0.28,115.9,14.5,,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV40,
200485956,Toyota,Camry,2014,L 4dr Sedan w/Prod. End 11/13 (2.5L 4cyl 6A),22235,"Clearwater Blue Metallic(87,134,162);Champagne Mica(168,153,134);Cypress Pearl(75,83,67);Magnetic Gray Metallic(73,73,73);Barcelona Red Metallic(143,5,3);Attitude Black Metallic(36,35,30);Super White(247,247,247);Cosmic Gray Mica(60,64,79);Classic Silver Metallic(196,203,211);","Ash, cloth(91,88,81);Ivory, cloth(158,142,117);",189.2,71.7,57.9,109.3,3190,4630,,,I4,2.5,178,6000,170,4100,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,17,28,25/35 mpg,425.0/595.0 mi.,38.8,54.5,41.6,58,38.1,54.5,38.9,56.6,62.4,62,6.1,,,36.7,0.28,118.1,15.4,,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV50,
200497902,Toyota,Camry,2014,L 4dr Sedan (2.5L 4cyl 6A),22425,"Clearwater Blue Metallic(87,134,162);Cypress Pearl(75,83,67);Magnetic Gray Metallic(73,73,73);Barcelona Red Metallic(143,5,3);Attitude Black Metallic(36,35,30);Super White(247,247,247);Cosmic Gray Mica(60,64,79);Classic Silver Metallic(196,203,211);Creme Brulee Mica(186,180,169);","Ash, cloth(91,88,81);Ivory, cloth(158,142,117);",189.2,71.7,57.9,109.3,3215,4630,,,I4,2.5,178,6000,170,4100,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,17,28,25/35 mpg,425.0/595.0 mi.,38.8,54.5,41.6,58,38.1,54.5,38.9,56.6,62.4,62,6.1,,,36.7,0.28,118.1,15.4,,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV50,
200485958,Toyota,Camry,2014,LE 4dr Sedan w/Prod. End 11/13 (2.5L 4cyl 6A),22680,"Clearwater Blue Metallic(87,134,162);Champagne Mica(168,153,134);Cypress Pearl(75,83,67);Magnetic Gray Metallic(73,73,73);Barcelona Red Metallic(143,5,3);Attitude Black Metallic(36,35,30);Super White(247,247,247);Cosmic Gray Mica(60,64,79);Classic Silver Metallic(196,203,211);","Ash, cloth(91,88,81);Ivory, cloth(158,142,117);",189.2,71.7,57.9,109.3,3190,4630,,,I4,2.5,178,6000,170,4100,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,gas,regular unleaded,17,28,25/35 mpg,425.0/595.0 mi.,38.8,54.5,41.6,58,38.2,54.5,38.9,56.6,62.4,62,6.1,,,36.7,0.28,118.1,15.4,,3 yr./ 36000 mi.,5 yr./ 60000 mi.,,,2 yr./ 25000 mi.,,,Imported,Japan,Mid-size car,XV50,
